Query_Alias,Query
query-54-TPCDS-54-optimised,"with ss_items as (select i_item_id item_id     ,sum(ss_ext_sales_price) ss_item_rev  from store_sales   ,item   ,date_dim where ss_item_sk = i_item_sk  and d_date in (select d_date          from date_dim          where d_week_seq = (select d_week_seq                    from date_dim                    where d_date = '1998-02-19'))  and ss_sold_date_sk  = d_date_sk group by i_item_id), cs_items as (select i_item_id item_id     ,sum(cs_ext_sales_price) cs_item_rev  from catalog_sales    ,item    ,date_dim where cs_item_sk = i_item_sk  and d_date in (select d_date          from date_dim          where d_week_seq = (select d_week_seq                    from date_dim                    where d_date = '1998-02-19'))  and cs_sold_date_sk = d_date_sk group by i_item_id), ws_items as (select i_item_id item_id     ,sum(ws_ext_sales_price) ws_item_rev  from web_sales    ,item    ,date_dim where ws_item_sk = i_item_sk  and d_date in (select d_date          from date_dim          where d_week_seq =(select d_week_seq                    from date_dim                   where d_date = '1998-02-19'))  and ws_sold_date_sk  = d_date_sk group by i_item_id)  select ss_items.item_id    ,ss_item_rev    ,ss_item_rev/((ss_item_rev+cs_item_rev+ws_item_rev)/3) * 100 ss_dev    ,cs_item_rev    ,cs_item_rev/((ss_item_rev+cs_item_rev+ws_item_rev)/3) * 100 cs_dev    ,ws_item_rev    ,ws_item_rev/((ss_item_rev+cs_item_rev+ws_item_rev)/3) * 100 ws_dev    ,(ss_item_rev+cs_item_rev+ws_item_rev)/3 average from ss_items,cs_items,ws_items where ss_items.item_id=cs_items.item_id  and ss_items.item_id=ws_items.item_id   and ss_item_rev between 0.9 * cs_item_rev and 1.1 * cs_item_rev  and ss_item_rev between 0.9 * ws_item_rev and 1.1 * ws_item_rev  and cs_item_rev between 0.9 * ss_item_rev and 1.1 * ss_item_rev  and cs_item_rev between 0.9 * ws_item_rev and 1.1 * ws_item_rev  and ws_item_rev between 0.9 * ss_item_rev and 1.1 * ss_item_rev  and ws_item_rev between 0.9 * cs_item_rev and 1.1 * cs_item_rev order by item_id     ,ss_item_rev limit 100"
query-9-TPCDS-9,"select i_item_id    ,i_item_desc    ,s_state    ,count(ss_quantity) as store_sales_quantitycount    ,avg(ss_quantity) as store_sales_quantityave    ,stddev_samp(ss_quantity) as store_sales_quantitystdev    ,stddev_samp(ss_quantity)/avg(ss_quantity) as store_sales_quantitycov    ,count(sr_return_quantity) as store_returns_quantitycount    ,avg(sr_return_quantity) as store_returns_quantityave    ,stddev_samp(sr_return_quantity) as store_returns_quantitystdev    ,stddev_samp(sr_return_quantity)/avg(sr_return_quantity) as store_returns_quantitycov    ,count(cs_quantity) as catalog_sales_quantitycount ,avg(cs_quantity) as catalog_sales_quantityave    ,stddev_samp(cs_quantity) as catalog_sales_quantitystdev    ,stddev_samp(cs_quantity)/avg(cs_quantity) as catalog_sales_quantitycov from store_sales   ,catalog_sales   ,store_returns   ,date_dim d1   ,date_dim d2   ,date_dim d3   ,store   ,item where d1.d_quarter_name = '1998Q1'  and d1.d_date_sk = ss_sold_date_sk  and i_item_sk = ss_item_sk  and s_store_sk = ss_store_sk  and ss_customer_sk = sr_customer_sk  and ss_item_sk = sr_item_sk  and ss_ticket_number = sr_ticket_number  and sr_returned_date_sk = d2.d_date_sk  and d2.d_quarter_name in ('1998Q1','1998Q2','1998Q3')  and sr_customer_sk = cs_bill_customer_sk  and sr_item_sk = cs_item_sk  and cs_sold_date_sk = d3.d_date_sk  and d3.d_quarter_name in ('1998Q1','1998Q2','1998Q3') group by i_item_id     ,i_item_desc     ,s_state order by i_item_id     ,i_item_desc     ,s_state limit 100"
query-15-TPCDS-15,"select i_product_name       ,i_brand       ,i_class       ,i_category       ,avg(inv_quantity_on_hand) qoh    from inventory      ,date_dim      ,item    where inv_date_sk=d_date_sk        and inv_item_sk=i_item_sk        and d_month_seq between 1212 and 1212 + 11    group by rollup(i_product_name            ,i_brand            ,i_class            ,i_category) order by qoh, i_product_name, i_brand, i_class, i_category limit 100"
query-27-TPCDS-27-optimised,"with ss as ( select      i_manufact_id,sum(ss_ext_sales_price) total_sales from     store_sales,     date_dim,     customer_address,     item where     i_manufact_id in (select  i_manufact_id from item where i_category in ('Books')) and   ss_item_sk       = i_item_sk and   ss_sold_date_sk     = d_date_sk and   d_year         = 1999 and   d_moy          = 3 and   ss_addr_sk       = ca_address_sk and   ca_gmt_offset      = -6  group by i_manufact_id), cs as ( select      i_manufact_id,sum(cs_ext_sales_price) total_sales from     catalog_sales,     date_dim,     customer_address,     item where     i_manufact_id        in (select  i_manufact_id from item where i_category in ('Books')) and   cs_item_sk       = i_item_sk and   cs_sold_date_sk     = d_date_sk and   d_year         = 1999 and   d_moy          = 3 and   cs_bill_addr_sk     = ca_address_sk and   ca_gmt_offset      = -6  group by i_manufact_id), ws as ( select      i_manufact_id,sum(ws_ext_sales_price) total_sales from     web_sales,     date_dim,     customer_address,     item where     i_manufact_id        in (select  i_manufact_id from item where i_category in ('Books')) and   ws_item_sk       = i_item_sk and   ws_sold_date_sk     = d_date_sk and   d_year         = 1999 and   d_moy          = 3 and   ws_bill_addr_sk     = ca_address_sk and   ca_gmt_offset      = -6 group by i_manufact_id)  select i_manufact_id ,sum(total_sales) total_sales from (select * from ss     union all     select * from cs     union all     select * from ws) tmp1 group by i_manufact_id order by total_sales limit 100"
query-18-TPCDS-18-optimised,"select  i_item_id ,i_item_desc ,s_store_id ,s_store_name ,sum(ss_net_profit) as store_sales_profit ,sum(sr_net_loss) as store_returns_loss ,sum(cs_net_profit) as catalog_sales_profit from store_sales ,store_returns ,catalog_sales ,date_dim d1 ,date_dim d2 ,date_dim d3 ,store ,item where d1.d_moy = 4 and d1.d_year = 2000 and d1.d_date_sk = ss_sold_date_sk and i_item_sk = ss_item_sk and s_store_sk = ss_store_sk and ss_customer_sk = sr_customer_sk and ss_item_sk = sr_item_sk and ss_ticket_number = sr_ticket_number and sr_returned_date_sk = d2.d_date_sk and d2.d_moy        between 4 and 10 and d2.d_year       = 2000 and sr_customer_sk = cs_bill_customer_sk and sr_item_sk = cs_item_sk and cs_sold_date_sk = d3.d_date_sk and d3.d_moy        between 4 and 10  and d3.d_year       = 2000 group by i_item_id ,i_item_desc ,s_store_id ,s_store_name order by i_item_id ,i_item_desc ,s_store_id ,s_store_name limit 100"
query-22-TPCDS-22,"select     i_item_id   ,i_item_desc   ,s_store_id   ,s_store_name   ,sum(ss_quantity)    as store_sales_quantity   ,sum(sr_return_quantity) as store_returns_quantity   ,sum(cs_quantity)    as catalog_sales_quantity from   store_sales  ,store_returns  ,catalog_sales  ,date_dim       d1  ,date_dim       d2  ,date_dim       d3  ,store  ,item where   d1.d_moy        = 4  and d1.d_year       = 1999 and d1.d_date_sk      = ss_sold_date_sk and i_item_sk       = ss_item_sk and s_store_sk       = ss_store_sk and ss_customer_sk     = sr_customer_sk and ss_item_sk       = sr_item_sk and ss_ticket_number    = sr_ticket_number and sr_returned_date_sk  = d2.d_date_sk and d2.d_moy        between 4 and 4 + 3  and d2.d_year       = 1999 and sr_customer_sk     = cs_bill_customer_sk and sr_item_sk       = cs_item_sk and cs_sold_date_sk    = d3.d_date_sk    and d3.d_year       in (1999,1999+1,1999+2) group by   i_item_id  ,i_item_desc  ,s_store_id  ,s_store_name order by   i_item_id   ,i_item_desc  ,s_store_id  ,s_store_name limit 100"
query-28-TPCDS-28-optimised,"select c_last_name    ,c_first_name    ,c_salutation    ,c_preferred_cust_flag    ,ss_ticket_number    ,cnt from  (select ss_ticket_number      ,ss_customer_sk      ,count(*) cnt   from store_sales,date_dim,store,household_demographics   where store_sales.ss_sold_date_sk = date_dim.d_date_sk   and store_sales.ss_store_sk = store.s_store_sk    and store_sales.ss_hdemo_sk = household_demographics.hd_demo_sk   and (date_dim.d_dom between 1 and 3 or date_dim.d_dom between 25 and 28)   and (household_demographics.hd_buy_potential = '>10000' or     household_demographics.hd_buy_potential = 'Unknown')   and household_demographics.hd_vehicle_count > 0   and (case when household_demographics.hd_vehicle_count > 0     then household_demographics.hd_dep_count/ household_demographics.hd_vehicle_count     else null     end) > 1.2   and date_dim.d_year in (2000,2000+1,2000+2)   and store.s_county in ('Mobile County','Maverick County','Huron County','Kittitas County',              'Fairfield County','Jackson County','Barrow County','Pennington County')   group by ss_ticket_number,ss_customer_sk) dn,customer   where ss_customer_sk = c_customer_sk    and cnt between 15 and 20   order by c_last_name,c_first_name,c_salutation,c_preferred_cust_flag desc, ss_ticket_number   limit 100"
query-57-TPCDS-57-optimised,"with ss as ( select      i_item_id,sum(ss_ext_sales_price) total_sales from     store_sales,     date_dim,     customer_address,     item where     i_item_id in (select  i_item_id from item where i_category in ('Children')) and   ss_item_sk       = i_item_sk and   ss_sold_date_sk     = d_date_sk and   d_year         = 1999 and   d_moy          = 9 and   ss_addr_sk       = ca_address_sk and   ca_gmt_offset      = -6  group by i_item_id), cs as ( select      i_item_id,sum(cs_ext_sales_price) total_sales from     catalog_sales,     date_dim,     customer_address,     item where     i_item_id        in (select  i_item_id from item where i_category in ('Children')) and   cs_item_sk       = i_item_sk and   cs_sold_date_sk     = d_date_sk and   d_year         = 1999 and   d_moy          = 9 and   cs_bill_addr_sk     = ca_address_sk and   ca_gmt_offset      = -6  group by i_item_id), ws as ( select      i_item_id,sum(ws_ext_sales_price) total_sales from     web_sales,     date_dim,     customer_address,     item where     i_item_id        in (select  i_item_id from item where i_category in ('Children')) and   ws_item_sk       = i_item_sk and   ws_sold_date_sk     = d_date_sk and   d_year         = 1999 and   d_moy          = 9 and   ws_bill_addr_sk     = ca_address_sk and   ca_gmt_offset      = -6 group by i_item_id)  select   i_item_id ,sum(total_sales) total_sales from (select * from ss     union all     select * from cs     union all     select * from ws) tmp1 group by i_item_id order by i_item_id    ,total_sales limit 100"
query-63-TPCDS-63,"select     w_warehouse_name     ,w_warehouse_sq_ft     ,w_city     ,w_county     ,w_state     ,w_country     ,ship_carriers     ,""year""     ,sum(jan_sales) as jan_sales     ,sum(feb_sales) as feb_sales     ,sum(mar_sales) as mar_sales     ,sum(apr_sales) as apr_sales     ,sum(may_sales) as may_sales     ,sum(jun_sales) as jun_sales     ,sum(jul_sales) as jul_sales     ,sum(aug_sales) as aug_sales     ,sum(sep_sales) as sep_sales     ,sum(oct_sales) as oct_sales     ,sum(nov_sales) as nov_sales     ,sum(dec_sales) as dec_sales     ,sum(jan_sales/w_warehouse_sq_ft) as jan_sales_per_sq_foot     ,sum(feb_sales/w_warehouse_sq_ft) as feb_sales_per_sq_foot     ,sum(mar_sales/w_warehouse_sq_ft) as mar_sales_per_sq_foot     ,sum(apr_sales/w_warehouse_sq_ft) as apr_sales_per_sq_foot     ,sum(may_sales/w_warehouse_sq_ft) as may_sales_per_sq_foot     ,sum(jun_sales/w_warehouse_sq_ft) as jun_sales_per_sq_foot     ,sum(jul_sales/w_warehouse_sq_ft) as jul_sales_per_sq_foot     ,sum(aug_sales/w_warehouse_sq_ft) as aug_sales_per_sq_foot     ,sum(sep_sales/w_warehouse_sq_ft) as sep_sales_per_sq_foot     ,sum(oct_sales/w_warehouse_sq_ft) as oct_sales_per_sq_foot     ,sum(nov_sales/w_warehouse_sq_ft) as nov_sales_per_sq_foot     ,sum(dec_sales/w_warehouse_sq_ft) as dec_sales_per_sq_foot     ,sum(jan_net) as jan_net     ,sum(feb_net) as feb_net     ,sum(mar_net) as mar_net     ,sum(apr_net) as apr_net     ,sum(may_net) as may_net     ,sum(jun_net) as jun_net     ,sum(jul_net) as jul_net     ,sum(aug_net) as aug_net     ,sum(sep_net) as sep_net     ,sum(oct_net) as oct_net     ,sum(nov_net) as nov_net     ,sum(dec_net) as dec_net from (   select     w_warehouse_name     ,w_warehouse_sq_ft     ,w_city     ,w_county     ,w_state     ,w_country     ,'DIAMOND' || ',' || 'AIRBORNE' as ship_carriers    ,d_year as ""year""     ,sum(case when d_moy = 1         then ws_sales_price* ws_quantity else 0 end) as jan_sales     ,sum(case when d_moy = 2         then ws_sales_price* ws_quantity else 0 end) as feb_sales     ,sum(case when d_moy = 3         then ws_sales_price* ws_quantity else 0 end) as mar_sales     ,sum(case when d_moy = 4         then ws_sales_price* ws_quantity else 0 end) as apr_sales     ,sum(case when d_moy = 5         then ws_sales_price* ws_quantity else 0 end) as may_sales     ,sum(case when d_moy = 6         then ws_sales_price* ws_quantity else 0 end) as jun_sales     ,sum(case when d_moy = 7         then ws_sales_price* ws_quantity else 0 end) as jul_sales     ,sum(case when d_moy = 8         then ws_sales_price* ws_quantity else 0 end) as aug_sales     ,sum(case when d_moy = 9         then ws_sales_price* ws_quantity else 0 end) as sep_sales     ,sum(case when d_moy = 10         then ws_sales_price* ws_quantity else 0 end) as oct_sales     ,sum(case when d_moy = 11         then ws_sales_price* ws_quantity else 0 end) as nov_sales     ,sum(case when d_moy = 12         then ws_sales_price* ws_quantity else 0 end) as dec_sales     ,sum(case when d_moy = 1         then ws_net_paid_inc_tax * ws_quantity else 0 end) as jan_net     ,sum(case when d_moy = 2         then ws_net_paid_inc_tax * ws_quantity else 0 end) as feb_net     ,sum(case when d_moy = 3         then ws_net_paid_inc_tax * ws_quantity else 0 end) as mar_net     ,sum(case when d_moy = 4         then ws_net_paid_inc_tax * ws_quantity else 0 end) as apr_net     ,sum(case when d_moy = 5         then ws_net_paid_inc_tax * ws_quantity else 0 end) as may_net     ,sum(case when d_moy = 6         then ws_net_paid_inc_tax * ws_quantity else 0 end) as jun_net     ,sum(case when d_moy = 7         then ws_net_paid_inc_tax * ws_quantity else 0 end) as jul_net     ,sum(case when d_moy = 8         then ws_net_paid_inc_tax * ws_quantity else 0 end) as aug_net     ,sum(case when d_moy = 9         then ws_net_paid_inc_tax * ws_quantity else 0 end) as sep_net     ,sum(case when d_moy = 10         then ws_net_paid_inc_tax * ws_quantity else 0 end) as oct_net     ,sum(case when d_moy = 11         then ws_net_paid_inc_tax * ws_quantity else 0 end) as nov_net     ,sum(case when d_moy = 12         then ws_net_paid_inc_tax * ws_quantity else 0 end) as dec_net   from      web_sales     ,warehouse     ,date_dim     ,time_dim      ,ship_mode   where       ws_warehouse_sk = w_warehouse_sk     and ws_sold_date_sk = d_date_sk     and ws_sold_time_sk = t_time_sk     and ws_ship_mode_sk = sm_ship_mode_sk     and d_year = 2002     and t_time between 49530 and 49530+28800     and sm_carrier in ('DIAMOND','AIRBORNE')   group by     w_warehouse_name     ,w_warehouse_sq_ft     ,w_city     ,w_county     ,w_state     ,w_country    ,d_year union all   select     w_warehouse_name     ,w_warehouse_sq_ft     ,w_city     ,w_county     ,w_state     ,w_country     ,'DIAMOND' || ',' || 'AIRBORNE' as ship_carriers    ,d_year as ""year""     ,sum(case when d_moy = 1         then cs_ext_sales_price* cs_quantity else 0 end) as jan_sales     ,sum(case when d_moy = 2         then cs_ext_sales_price* cs_quantity else 0 end) as feb_sales     ,sum(case when d_moy = 3         then cs_ext_sales_price* cs_quantity else 0 end) as mar_sales     ,sum(case when d_moy = 4         then cs_ext_sales_price* cs_quantity else 0 end) as apr_sales     ,sum(case when d_moy = 5         then cs_ext_sales_price* cs_quantity else 0 end) as may_sales     ,sum(case when d_moy = 6         then cs_ext_sales_price* cs_quantity else 0 end) as jun_sales     ,sum(case when d_moy = 7         then cs_ext_sales_price* cs_quantity else 0 end) as jul_sales     ,sum(case when d_moy = 8         then cs_ext_sales_price* cs_quantity else 0 end) as aug_sales     ,sum(case when d_moy = 9         then cs_ext_sales_price* cs_quantity else 0 end) as sep_sales     ,sum(case when d_moy = 10         then cs_ext_sales_price* cs_quantity else 0 end) as oct_sales     ,sum(case when d_moy = 11         then cs_ext_sales_price* cs_quantity else 0 end) as nov_sales     ,sum(case when d_moy = 12         then cs_ext_sales_price* cs_quantity else 0 end) as dec_sales     ,sum(case when d_moy = 1         then cs_net_paid_inc_ship_tax * cs_quantity else 0 end) as jan_net     ,sum(case when d_moy = 2         then cs_net_paid_inc_ship_tax * cs_quantity else 0 end) as feb_net     ,sum(case when d_moy = 3         then cs_net_paid_inc_ship_tax * cs_quantity else 0 end) as mar_net     ,sum(case when d_moy = 4         then cs_net_paid_inc_ship_tax * cs_quantity else 0 end) as apr_net     ,sum(case when d_moy = 5         then cs_net_paid_inc_ship_tax * cs_quantity else 0 end) as may_net     ,sum(case when d_moy = 6         then cs_net_paid_inc_ship_tax * cs_quantity else 0 end) as jun_net     ,sum(case when d_moy = 7         then cs_net_paid_inc_ship_tax * cs_quantity else 0 end) as jul_net     ,sum(case when d_moy = 8         then cs_net_paid_inc_ship_tax * cs_quantity else 0 end) as aug_net     ,sum(case when d_moy = 9         then cs_net_paid_inc_ship_tax * cs_quantity else 0 end) as sep_net     ,sum(case when d_moy = 10         then cs_net_paid_inc_ship_tax * cs_quantity else 0 end) as oct_net     ,sum(case when d_moy = 11         then cs_net_paid_inc_ship_tax * cs_quantity else 0 end) as nov_net     ,sum(case when d_moy = 12         then cs_net_paid_inc_ship_tax * cs_quantity else 0 end) as dec_net   from      catalog_sales     ,warehouse     ,date_dim     ,time_dim      ,ship_mode   where       cs_warehouse_sk = w_warehouse_sk     and cs_sold_date_sk = d_date_sk     and cs_sold_time_sk = t_time_sk     and cs_ship_mode_sk = sm_ship_mode_sk     and d_year = 2002     and t_time between 49530 AND 49530+28800     and sm_carrier in ('DIAMOND','AIRBORNE')   group by     w_warehouse_name     ,w_warehouse_sq_ft     ,w_city     ,w_county     ,w_state     ,w_country    ,d_year ) x group by     w_warehouse_name     ,w_warehouse_sq_ft     ,w_city     ,w_county     ,w_state     ,w_country     ,ship_carriers    ,""year"" order by w_warehouse_name limit 100"
query-30-TPCDS-30,"select    sum(ss_net_profit)/sum(ss_ext_sales_price) as gross_margin  ,i_category  ,i_class  ,grouping(i_category)+grouping(i_class) as lochierarchy  ,rank() over (     partition by grouping(i_category)+grouping(i_class),     case when grouping(i_class) = 0 then i_category end      order by sum(ss_net_profit)/sum(ss_ext_sales_price) asc) as rank_within_parent from   store_sales  ,date_dim    d1  ,item  ,store where   d1.d_year = 1999  and d1.d_date_sk = ss_sold_date_sk and i_item_sk = ss_item_sk  and s_store_sk = ss_store_sk and s_state in ('SD','FL','MI','LA',         'MO','SC','AL','GA') group by rollup(i_category,i_class) order by  lochierarchy desc  ,case when lochierarchy = 0 then i_category end  ,rank_within_parent  limit 100"
