QUERY_ALIAS,QUERY
query-1-TPCDS-1-optimised,"with customer_total_return as (  select   sr_customer_sk as ctr_customer_sk,   sr_store_sk as ctr_store_sk,   sum(SR_FEE) as ctr_total_return  from   store_returns,   date_dim  where   sr_returned_date_sk = d_date_sk   and d_year = 2000  group by   sr_customer_sk,   sr_store_sk ) select  c_customer_id from  customer_total_return ctr1,  store,  customer where  s_store_sk = ctr1.ctr_store_sk  and s_state = 'NM'  and ctr1.ctr_customer_sk = c_customer_sk order by  c_customer_id limit  100"
query-4-TPCDS-4-optimised,"select i_item_id    ,i_item_desc    ,i_category    ,i_class    ,i_current_price    ,sum(ws_ext_sales_price) as itemrevenue    ,sum(ws_ext_sales_price)*100/sum(sum(ws_ext_sales_price)) over      (partition by i_class) as revenueratio from         web_sales       ,item       ,date_dim where     ws_item_sk = i_item_sk      and i_category in ('Jewelry', 'Sports', 'Books')      and ws_sold_date_sk = d_date_sk     and d_date between cast('2001-01-12' as date)                 and (cast('2001-01-12' as date) + INTERVAL 30 day) group by     i_item_id     ,i_item_desc     ,i_category     ,i_class     ,i_current_price order by     i_category     ,i_class     ,i_item_id     ,i_item_desc     ,revenueratio limit 100"
query-7-TPCDS-7-optimised,"select ca_zip    ,sum(cs_sales_price) from catalog_sales   ,customer   ,customer_address   ,date_dim where cs_bill_customer_sk = c_customer_sk     and c_current_addr_sk = ca_address_sk      and ( substr(ca_zip,1,5) in ('85669', '86197','88274','83405','86475',                  '85392', '85460', '80348', '81792')        or ca_state in ('CA','WA','GA')        or cs_sales_price > 500)     and cs_sold_date_sk = d_date_sk     and d_qoy = 2 and d_year = 2000 group by ca_zip order by ca_zip limit 100"
query-11-TPCDS-11-optimised,"select i_brand_id brand_id, i_brand brand, i_manufact_id, i_manufact,     sum(ss_ext_sales_price) ext_price from store_sales, date_dim, item,customer,customer_address,store where d_date_sk = ss_sold_date_sk  and ss_item_sk = i_item_sk  and i_manager_id=7  and d_moy=11  and d_year=1999  and ss_customer_sk = c_customer_sk   and c_current_addr_sk = ca_address_sk  and substr(ca_zip,1,5) <> substr(s_zip,1,5)   and ss_store_sk = s_store_sk  group by i_brand    ,i_brand_id    ,i_manufact_id    ,i_manufact order by ext_price desc     ,i_brand     ,i_brand_id     ,i_manufact_id     ,i_manufact limit 100"
query-12-TPCDS-12-optimised,"with wscs as (select sold_date_sk     ,sales_price  from (select ws_sold_date_sk sold_date_sk        ,ws_ext_sales_price sales_price     from web_sales     union all     select cs_sold_date_sk sold_date_sk        ,cs_ext_sales_price sales_price     from catalog_sales)), wswscs as  (select d_week_seq,     sum(case when (d_day_name='Sunday') then sales_price else null end) sun_sales,     sum(case when (d_day_name='Monday') then sales_price else null end) mon_sales,     sum(case when (d_day_name='Tuesday') then sales_price else null end) tue_sales,     sum(case when (d_day_name='Wednesday') then sales_price else null end) wed_sales,     sum(case when (d_day_name='Thursday') then sales_price else null end) thu_sales,     sum(case when (d_day_name='Friday') then sales_price else null end) fri_sales,     sum(case when (d_day_name='Saturday') then sales_price else null end) sat_sales from wscs   ,date_dim where d_date_sk = sold_date_sk group by d_week_seq) select d_week_seq1    ,round(sun_sales1/sun_sales2,2)    ,round(mon_sales1/mon_sales2,2)    ,round(tue_sales1/tue_sales2,2)    ,round(wed_sales1/wed_sales2,2)    ,round(thu_sales1/thu_sales2,2)    ,round(fri_sales1/fri_sales2,2)    ,round(sat_sales1/sat_sales2,2) from (select wswscs.d_week_seq d_week_seq1     ,sun_sales sun_sales1     ,mon_sales mon_sales1     ,tue_sales tue_sales1     ,wed_sales wed_sales1     ,thu_sales thu_sales1     ,fri_sales fri_sales1     ,sat_sales sat_sales1  from wswscs,date_dim  where date_dim.d_week_seq = wswscs.d_week_seq and     d_year = 2001) y, (select wswscs.d_week_seq d_week_seq2     ,sun_sales sun_sales2     ,mon_sales mon_sales2     ,tue_sales tue_sales2     ,wed_sales wed_sales2     ,thu_sales thu_sales2     ,fri_sales fri_sales2     ,sat_sales sat_sales2  from wswscs    ,date_dim  where date_dim.d_week_seq = wswscs.d_week_seq and     d_year = 2001+1) z where d_week_seq1=d_week_seq2-53 order by d_week_seq1 LIMIT 100"
query-13-TPCDS-13-optimised,"select i_item_id    ,i_item_desc     ,i_category     ,i_class     ,i_current_price    ,sum(cs_ext_sales_price) as itemrevenue     ,sum(cs_ext_sales_price)*100/sum(sum(cs_ext_sales_price)) over      (partition by i_class) as revenueratio from    catalog_sales   ,item    ,date_dim where cs_item_sk = i_item_sk   and i_category in ('Jewelry', 'Sports', 'Books')  and cs_sold_date_sk = d_date_sk and d_date between cast('2001-01-12' as date)                  and (cast('2001-01-12' as date) + INTERVAL 30 day) group by i_item_id     ,i_item_desc      ,i_category     ,i_class     ,i_current_price order by i_category     ,i_class     ,i_item_id     ,i_item_desc     ,revenueratio limit 100"
query-14-TPCDS-14-optimised,"select * from(select w_warehouse_name       ,i_item_id       ,sum(case when (cast(d_date as date) < cast ('1998-04-08' as date))             then inv_quantity_on_hand            else 0 end) as inv_before       ,sum(case when (cast(d_date as date) >= cast ('1998-04-08' as date))            then inv_quantity_on_hand            else 0 end) as inv_after  from inventory    ,warehouse    ,item    ,date_dim  where i_current_price between 0.99 and 1.49   and i_item_sk     = inv_item_sk   and inv_warehouse_sk  = w_warehouse_sk   and inv_date_sk  = d_date_sk   and d_date between (cast ('1998-04-08' as date) - INTERVAL 30 day)           and (cast ('1998-04-08' as date) + INTERVAL 30 day)  group by w_warehouse_name, i_item_id) x where (case when inv_before > 0       then inv_after / inv_before       else null       end) between 2.0/3.0 and 3.0/2.0 order by w_warehouse_name     ,i_item_id limit 100"
query-18-TPCDS-18-optimised,"select  i_item_id ,i_item_desc ,s_store_id ,s_store_name ,sum(ss_net_profit) as store_sales_profit ,sum(sr_net_loss) as store_returns_loss ,sum(cs_net_profit) as catalog_sales_profit from store_sales ,store_returns ,catalog_sales ,date_dim d1 ,date_dim d2 ,date_dim d3 ,store ,item where d1.d_moy = 4 and d1.d_year = 2000 and d1.d_date_sk = ss_sold_date_sk and i_item_sk = ss_item_sk and s_store_sk = ss_store_sk and ss_customer_sk = sr_customer_sk and ss_item_sk = sr_item_sk and ss_ticket_number = sr_ticket_number and sr_returned_date_sk = d2.d_date_sk and d2.d_moy        between 4 and 10 and d2.d_year       = 2000 and sr_customer_sk = cs_bill_customer_sk and sr_item_sk = cs_item_sk and cs_sold_date_sk = d3.d_date_sk and d3.d_moy        between 4 and 10  and d3.d_year       = 2000 group by i_item_id ,i_item_desc ,s_store_id ,s_store_name order by i_item_id ,i_item_desc ,s_store_id ,s_store_name limit 100"
query-19-TPCDS-19-optimised,"select i_item_id,     avg(cs_quantity) agg1,     avg(cs_list_price) agg2,     avg(cs_coupon_amt) agg3,     avg(cs_sales_price) agg4  from catalog_sales, customer_demographics, date_dim, item, promotion where cs_sold_date_sk = d_date_sk and    cs_item_sk = i_item_sk and    cs_bill_cdemo_sk = cd_demo_sk and    cs_promo_sk = p_promo_sk and    cd_gender = 'F' and     cd_marital_status = 'W' and    cd_education_status = 'Primary' and    (p_channel_email = 'N' or p_channel_event = 'N') and    d_year = 1998  group by i_item_id order by i_item_id limit 100"
query-21-TPCDS-21-optimised,"select * from (select avg(ss_list_price) B1_LP       ,count(ss_list_price) B1_CNT       ,count(distinct ss_list_price) B1_CNTD    from store_sales    where ss_quantity between 0 and 5     and (ss_list_price between 11 and 11+10       or ss_coupon_amt between 460 and 460+1000       or ss_wholesale_cost between 14 and 14+20)) B1,   (select avg(ss_list_price) B2_LP       ,count(ss_list_price) B2_CNT       ,count(distinct ss_list_price) B2_CNTD    from store_sales    where ss_quantity between 6 and 10     and (ss_list_price between 91 and 91+10      or ss_coupon_amt between 1430 and 1430+1000      or ss_wholesale_cost between 32 and 32+20)) B2,   (select avg(ss_list_price) B3_LP       ,count(ss_list_price) B3_CNT       ,count(distinct ss_list_price) B3_CNTD    from store_sales    where ss_quantity between 11 and 15     and (ss_list_price between 66 and 66+10      or ss_coupon_amt between 920 and 920+1000      or ss_wholesale_cost between 4 and 4+20)) B3,   (select avg(ss_list_price) B4_LP       ,count(ss_list_price) B4_CNT       ,count(distinct ss_list_price) B4_CNTD    from store_sales    where ss_quantity between 16 and 20     and (ss_list_price between 142 and 142+10      or ss_coupon_amt between 3054 and 3054+1000      or ss_wholesale_cost between 80 and 80+20)) B4,   (select avg(ss_list_price) B5_LP       ,count(ss_list_price) B5_CNT       ,count(distinct ss_list_price) B5_CNTD    from store_sales    where ss_quantity between 21 and 25     and (ss_list_price between 135 and 135+10      or ss_coupon_amt between 14180 and 14180+1000      or ss_wholesale_cost between 38 and 38+20)) B5,   (select avg(ss_list_price) B6_LP       ,count(ss_list_price) B6_CNT       ,count(distinct ss_list_price) B6_CNTD    from store_sales    where ss_quantity between 26 and 30     and (ss_list_price between 28 and 28+10      or ss_coupon_amt between 2513 and 2513+1000      or ss_wholesale_cost between 42 and 42+20)) B6 limit 100"
